_id,tarih,ilce_kodu,ilce,satis_adedi
168,2015-05-01,1823,Küçükçekmece,617
169,2015-05-01,2012,Maltepe,666
170,2015-05-01,1835,Pendik,1197
171,2015-05-01,2054,Sancaktepe,778
172,2015-05-01,1604,Sarıyer,233
173,2015-05-01,1622,Silivri,393
174,2015-05-01,1663,Şişli,543
175,2015-05-01,2014,Sultanbeyli,69
176,2015-05-01,2055,Sultangazi,550
177,2015-05-01,2015,Tuzla,832
178,2015-05-01,1852,Ümraniye,842
179,2015-05-01,1708,Üsküdar,420
180,2015-05-01,1739,Zeytinburnu,228
181,2015-06-01,2048,Arnavutköy,398
182,2015-06-01,2049,Ataşehir,591
183,2015-06-01,2003,Avcılar,641
184,2015-06-01,2004,Bağcılar,411
185,2015-06-01,2005,Bahçelievler,737
186,2015-06-01,1166,Bakırköy,284
187,2015-06-01,2050,Başakşehir,923
188,2015-06-01,1886,Bayrampaşa,381
189,2015-06-01,1183,Beşiktaş,255
190,2015-06-01,1185,Beykoz,64
191,2015-06-01,2051,Beylikdüzü,1093
192,2015-06-01,1186,Beyoğlu,229
193,2015-06-01,1782,Büyükçekmece,560
194,2015-06-01,2052,Çekmeköy,488
195,2015-06-01,2016,Esenler,302
196,2015-06-01,2053,Esenyurt,3703
197,2015-06-01,1325,Eyüpsultan,425
198,2015-06-01,1327,Fatih,417
199,2015-06-01,1336,Gaziosmanpaşa,453
200,2015-06-01,2010,Güngören,257
201,2015-06-01,1421,Kadıköy,712
202,2015-06-01,1810,Kağıthane,623
203,2015-06-01,1449,Kartal,669
204,2015-06-01,1823,Küçükçekmece,554
205,2015-06-01,2012,Maltepe,693
206,2015-06-01,1835,Pendik,912
207,2015-06-01,2054,Sancaktepe,948
208,2015-06-01,1604,Sarıyer,216
209,2015-06-01,1622,Silivri,403
210,2015-06-01,1663,Şişli,412
211,2015-06-01,2014,Sultanbeyli,141
212,2015-06-01,2055,Sultangazi,585
213,2015-06-01,2015,Tuzla,545
214,2015-06-01,1852,Ümraniye,730
215,2015-06-01,1708,Üsküdar,471
216,2015-06-01,1739,Zeytinburnu,220
217,2015-07-01,2048,Arnavutköy,281
218,2015-07-01,2049,Ataşehir,516
219,2015-07-01,2003,Avcılar,468
220,2015-07-01,2004,Bağcılar,270
221,2015-07-01,2005,Bahçelievler,596
222,2015-07-01,1166,Bakırköy,208
223,2015-07-01,2050,Başakşehir,1012
224,2015-07-01,1886,Bayrampaşa,312
225,2015-07-01,1183,Beşiktaş,195
226,2015-07-01,1185,Beykoz,41
227,2015-07-01,2051,Beylikdüzü,935
228,2015-07-01,1186,Beyoğlu,154
229,2015-07-01,1782,Büyükçekmece,483
230,2015-07-01,2052,Çekmeköy,358
231,2015-07-01,2016,Esenler,170
232,2015-07-01,2053,Esenyurt,2541
233,2015-07-01,1325,Eyüpsultan,397
234,2015-07-01,1327,Fatih,319
235,2015-07-01,1336,Gaziosmanpaşa,369
236,2015-07-01,2010,Güngören,197
237,2015-07-01,1421,Kadıköy,506
238,2015-07-01,1810,Kağıthane,418
239,2015-07-01,1449,Kartal,560
240,2015-07-01,1823,Küçükçekmece,470
241,2015-07-01,2012,Maltepe,552
242,2015-07-01,1835,Pendik,664
243,2015-07-01,2054,Sancaktepe,770
244,2015-07-01,1604,Sarıyer,193
245,2015-07-01,1622,Silivri,309
246,2015-07-01,1663,Şişli,314
247,2015-07-01,2014,Sultanbeyli,56
248,2015-07-01,2055,Sultangazi,434
249,2015-07-01,2015,Tuzla,767
250,2015-07-01,1852,Ümraniye,644
251,2015-07-01,1708,Üsküdar,372
252,2015-07-01,1739,Zeytinburnu,193
253,2015-08-01,2048,Arnavutköy,287
254,2015-08-01,2049,Ataşehir,508
255,2015-08-01,2003,Avcılar,513
256,2015-08-01,2004,Bağcılar,243
257,2015-08-01,2005,Bahçelievler,589
258,2015-08-01,1166,Bakırköy,237
259,2015-08-01,2050,Başakşehir,858
260,2015-08-01,1886,Bayrampaşa,269
261,2015-08-01,1183,Beşiktaş,174
262,2015-08-01,1185,Beykoz,44
263,2015-08-01,2051,Beylikdüzü,925
264,2015-08-01,1186,Beyoğlu,123
265,2015-08-01,1782,Büyükçekmece,452
266,2015-08-01,2052,Çekmeköy,474
267,2015-08-01,2016,Esenler,219
268,2015-08-01,2053,Esenyurt,3124
269,2015-08-01,1325,Eyüpsultan,430
270,2015-08-01,1327,Fatih,304
271,2015-08-01,1336,Gaziosmanpaşa,370
272,2015-08-01,2010,Güngören,232
273,2015-08-01,1421,Kadıköy,542
274,2015-08-01,1810,Kağıthane,517
275,2015-08-01,1449,Kartal,605
276,2015-08-01,1823,Küçükçekmece,1141
277,2015-08-01,2012,Maltepe,534
278,2015-08-01,1835,Pendik,808
279,2015-08-01,2054,Sancaktepe,797
280,2015-08-01,1604,Sarıyer,177
281,2015-08-01,1622,Silivri,373
282,2015-08-01,1663,Şişli,307
283,2015-08-01,2014,Sultanbeyli,70
284,2015-08-01,2055,Sultangazi,436
285,2015-08-01,2015,Tuzla,709
286,2015-08-01,1852,Ümraniye,689
287,2015-08-01,1708,Üsküdar,401
288,2015-08-01,1739,Zeytinburnu,226
289,2015-09-01,2048,Arnavutköy,216
290,2015-09-01,2049,Ataşehir,476
291,2015-09-01,2003,Avcılar,461
292,2015-09-01,2004,Bağcılar,206
293,2015-09-01,2005,Bahçelievler,497
294,2015-09-01,1166,Bakırköy,150
295,2015-09-01,2050,Başakşehir,650
296,2015-09-01,1886,Bayrampaşa,212
297,2015-09-01,1183,Beşiktaş,190
298,2015-09-01,1185,Beykoz,47
299,2015-09-01,2051,Beylikdüzü,859
300,2015-09-01,1186,Beyoğlu,133
301,2015-09-01,1782,Büyükçekmece,500
302,2015-09-01,2052,Çekmeköy,412
303,2015-09-01,2016,Esenler,187
304,2015-09-01,2053,Esenyurt,2474
305,2015-09-01,1325,Eyüpsultan,318
306,2015-09-01,1327,Fatih,293
307,2015-09-01,1336,Gaziosmanpaşa,310
308,2015-09-01,2010,Güngören,200
309,2015-09-01,1421,Kadıköy,472
310,2015-09-01,1810,Kağıthane,426
311,2015-09-01,1449,Kartal,783
312,2015-09-01,1823,Küçükçekmece,906
313,2015-09-01,2012,Maltepe,491
314,2015-09-01,1835,Pendik,655
315,2015-09-01,2054,Sancaktepe,683
316,2015-09-01,1604,Sarıyer,150
317,2015-09-01,1622,Silivri,305
318,2015-09-01,1663,Şişli,249
319,2015-09-01,2014,Sultanbeyli,84
320,2015-09-01,2055,Sultangazi,359
321,2015-09-01,2015,Tuzla,399
322,2015-09-01,1852,Ümraniye,609
323,2015-09-01,1708,Üsküdar,311
324,2015-09-01,1739,Zeytinburnu,143
325,2015-10-01,2048,Arnavutköy,322
326,2015-10-01,2049,Ataşehir,576
327,2015-10-01,2003,Avcılar,417
328,2015-10-01,2004,Bağcılar,349
329,2015-10-01,2005,Bahçelievler,583
330,2015-10-01,1166,Bakırköy,397
331,2015-10-01,2050,Başakşehir,675
332,2015-10-01,1886,Bayrampaşa,229
333,2015-10-01,1183,Beşiktaş,171
334,2015-10-01,1185,Beykoz,36
335,2015-10-01,2051,Beylikdüzü,913
336,2015-10-01,1186,Beyoğlu,145
337,2015-10-01,1782,Büyükçekmece,465
338,2015-10-01,2052,Çekmeköy,373
339,2015-10-01,2016,Esenler,201
340,2015-10-01,2053,Esenyurt,3009
341,2015-10-01,1325,Eyüpsultan,345
342,2015-10-01,1327,Fatih,299
343,2015-10-01,1336,Gaziosmanpaşa,521
344,2015-10-01,2010,Güngören,208
345,2015-10-01,1421,Kadıköy,600
346,2015-10-01,1810,Kağıthane,513
347,2015-10-01,1449,Kartal,576
348,2015-10-01,1823,Küçükçekmece,1088
349,2015-10-01,2012,Maltepe,528
350,2015-10-01,1835,Pendik,819
351,2015-10-01,2054,Sancaktepe,816
352,2015-10-01,1604,Sarıyer,208
353,2015-10-01,1622,Silivri,340
354,2015-10-01,1663,Şişli,270
355,2015-10-01,2014,Sultanbeyli,77
356,2015-10-01,2055,Sultangazi,393
357,2015-10-01,2015,Tuzla,658
358,2015-10-01,1852,Ümraniye,613
359,2015-10-01,1708,Üsküdar,407
360,2015-10-01,1739,Zeytinburnu,201
361,2015-11-01,2048,Arnavutköy,500
362,2015-11-01,2049,Ataşehir,558
363,2015-11-01,2003,Avcılar,507
364,2015-11-01,2004,Bağcılar,286
365,2015-11-01,2005,Bahçelievler,664
366,2015-11-01,1166,Bakırköy,292
367,2015-11-01,2050,Başakşehir,624
368,2015-11-01,1886,Bayrampaşa,313
369,2015-11-01,1183,Beşiktaş,200
370,2015-11-01,1185,Beykoz,33
371,2015-11-01,2051,Beylikdüzü,908
372,2015-11-01,1186,Beyoğlu,179
373,2015-11-01,1782,Büyükçekmece,497
374,2015-11-01,2052,Çekmeköy,410
375,2015-11-01,2016,Esenler,218
376,2015-11-01,2053,Esenyurt,3368
377,2015-11-01,1325,Eyüpsultan,430
378,2015-11-01,1327,Fatih,358
379,2015-11-01,1336,Gaziosmanpaşa,392
380,2015-11-01,2010,Güngören,243
381,2015-11-01,1421,Kadıköy,636
382,2015-11-01,1810,Kağıthane,595
383,2015-11-01,1449,Kartal,730
384,2015-11-01,1823,Küçükçekmece,952
385,2015-11-01,2012,Maltepe,632
386,2015-11-01,1835,Pendik,831
387,2015-11-01,2054,Sancaktepe,909
388,2015-11-01,1604,Sarıyer,201
389,2015-11-01,1622,Silivri,344
390,2015-11-01,1663,Şişli,354
391,2015-11-01,2014,Sultanbeyli,109
392,2015-11-01,2055,Sultangazi,446
393,2015-11-01,2015,Tuzla,896
394,2015-11-01,1852,Ümraniye,709
395,2015-11-01,1708,Üsküdar,394
396,2015-11-01,1739,Zeytinburnu,244
397,2015-12-01,2048,Arnavutköy,608
398,2015-12-01,2049,Ataşehir,849
399,2015-12-01,2003,Avcılar,606
400,2015-12-01,2004,Bağcılar,454
401,2015-12-01,2005,Bahçelievler,882
402,2015-12-01,1166,Bakırköy,559
403,2015-12-01,2050,Başakşehir,1056
404,2015-12-01,1886,Bayrampaşa,333
405,2015-12-01,1183,Beşiktaş,313
406,2015-12-01,1185,Beykoz,60
407,2015-12-01,2051,Beylikdüzü,1302
408,2015-12-01,1186,Beyoğlu,194
409,2015-12-01,1782,Büyükçekmece,677
410,2015-12-01,2052,Çekmeköy,458
411,2015-12-01,2016,Esenler,320
412,2015-12-01,2053,Esenyurt,4155
413,2015-12-01,1325,Eyüpsultan,575
414,2015-12-01,1327,Fatih,415
415,2015-12-01,1336,Gaziosmanpaşa,544
416,2015-12-01,2010,Güngören,279
417,2015-12-01,1421,Kadıköy,850
418,2015-12-01,1810,Kağıthane,741
419,2015-12-01,1449,Kartal,951
420,2015-12-01,1823,Küçükçekmece,1351
421,2015-12-01,2012,Maltepe,924
422,2015-12-01,1835,Pendik,1169
423,2015-12-01,2054,Sancaktepe,1139
424,2015-12-01,1604,Sarıyer,251
425,2015-12-01,1622,Silivri,388
426,2015-12-01,1663,Şişli,551
427,2015-12-01,2014,Sultanbeyli,186
428,2015-12-01,2055,Sultangazi,588
429,2015-12-01,2015,Tuzla,805
430,2015-12-01,1852,Ümraniye,876
431,2015-12-01,1708,Üsküdar,539
432,2015-12-01,1739,Zeytinburnu,452
433,2016-01-01,2048,Arnavutköy,290
434,2016-01-01,2049,Ataşehir,435
435,2016-01-01,2003,Avcılar,428
436,2016-01-01,2004,Bağcılar,227
437,2016-01-01,2005,Bahçelievler,532
438,2016-01-01,1166,Bakırköy,252
439,2016-01-01,2050,Başakşehir,378
440,2016-01-01,1886,Bayrampaşa,209
441,2016-01-01,1183,Beşiktaş,183
442,2016-01-01,1185,Beykoz,29
443,2016-01-01,2051,Beylikdüzü,794
444,2016-01-01,1186,Beyoğlu,164
445,2016-01-01,1782,Büyükçekmece,375
446,2016-01-01,2052,Çekmeköy,301
447,2016-01-01,2016,Esenler,208
448,2016-01-01,2053,Esenyurt,2661
449,2016-01-01,1325,Eyüpsultan,329
450,2016-01-01,1327,Fatih,250
451,2016-01-01,1336,Gaziosmanpaşa,375
452,2016-01-01,2010,Güngören,198
453,2016-01-01,1421,Kadıköy,551
454,2016-01-01,1810,Kağıthane,522
455,2016-01-01,1449,Kartal,605
456,2016-01-01,1823,Küçükçekmece,384
457,2016-01-01,2012,Maltepe,541
458,2016-01-01,1835,Pendik,719
459,2016-01-01,2054,Sancaktepe,749
460,2016-01-01,1604,Sarıyer,124
461,2016-01-01,1622,Silivri,241
462,2016-01-01,1663,Şişli,256
463,2016-01-01,2014,Sultanbeyli,108
464,2016-01-01,2055,Sultangazi,377
465,2016-01-01,2015,Tuzla,402
466,2016-01-01,1852,Ümraniye,575
467,2016-01-01,1708,Üsküdar,308
468,2016-01-01,1739,Zeytinburnu,347
469,2016-02-01,2048,Arnavutköy,302
470,2016-02-01,2049,Ataşehir,510
471,2016-02-01,2003,Avcılar,483
472,2016-02-01,2004,Bağcılar,374
473,2016-02-01,2005,Bahçelievler,632
474,2016-02-01,1166,Bakırköy,365
475,2016-02-01,2050,Başakşehir,452
476,2016-02-01,1886,Bayrampaşa,312
477,2016-02-01,1183,Beşiktaş,231
478,2016-02-01,1185,Beykoz,33
479,2016-02-01,2051,Beylikdüzü,887
480,2016-02-01,1186,Beyoğlu,180
481,2016-02-01,1782,Büyükçekmece,442
482,2016-02-01,2052,Çekmeköy,383
483,2016-02-01,2016,Esenler,236
484,2016-02-01,2053,Esenyurt,2939
485,2016-02-01,1325,Eyüpsultan,380
486,2016-02-01,1327,Fatih,348
487,2016-02-01,1336,Gaziosmanpaşa,429
488,2016-02-01,2010,Güngören,206
489,2016-02-01,1421,Kadıköy,612
490,2016-02-01,1810,Kağıthane,573
491,2016-02-01,1449,Kartal,719
492,2016-02-01,1823,Küçükçekmece,475
493,2016-02-01,2012,Maltepe,532
494,2016-02-01,1835,Pendik,688
495,2016-02-01,2054,Sancaktepe,817
496,2016-02-01,1604,Sarıyer,167
497,2016-02-01,1622,Silivri,459
498,2016-02-01,1663,Şişli,362
499,2016-02-01,2014,Sultanbeyli,99
500,2016-02-01,2055,Sultangazi,481
501,2016-02-01,2015,Tuzla,575
502,2016-02-01,1852,Ümraniye,698
503,2016-02-01,1708,Üsküdar,374
504,2016-02-01,1739,Zeytinburnu,245
505,2016-03-01,2048,Arnavutköy,347
506,2016-03-01,2049,Ataşehir,588
507,2016-03-01,2003,Avcılar,755
508,2016-03-01,2004,Bağcılar,339
509,2016-03-01,2005,Bahçelievler,742
510,2016-03-01,1166,Bakırköy,357
511,2016-03-01,2050,Başakşehir,850
512,2016-03-01,1886,Bayrampaşa,310
513,2016-03-01,1183,Beşiktaş,209
514,2016-03-01,1185,Beykoz,25
515,2016-03-01,2051,Beylikdüzü,1010
516,2016-03-01,1186,Beyoğlu,157
517,2016-03-01,1782,Büyükçekmece,544
518,2016-03-01,2052,Çekmeköy,417
519,2016-03-01,2016,Esenler,331
520,2016-03-01,2053,Esenyurt,3753
521,2016-03-01,1325,Eyüpsultan,520
522,2016-03-01,1327,Fatih,382
523,2016-03-01,1336,Gaziosmanpaşa,532
524,2016-03-01,2010,Güngören,253
525,2016-03-01,1421,Kadıköy,646
526,2016-03-01,1810,Kağıthane,629
527,2016-03-01,1449,Kartal,997
528,2016-03-01,1823,Küçükçekmece,608
529,2016-03-01,2012,Maltepe,683
530,2016-03-01,1835,Pendik,906
531,2016-03-01,2054,Sancaktepe,1002
532,2016-03-01,1604,Sarıyer,164
533,2016-03-01,1622,Silivri,483
534,2016-03-01,1663,Şişli,400
535,2016-03-01,2014,Sultanbeyli,115
536,2016-03-01,2055,Sultangazi,553
537,2016-03-01,2015,Tuzla,601
538,2016-03-01,1852,Ümraniye,915
539,2016-03-01,1708,Üsküdar,428
540,2016-03-01,1739,Zeytinburnu,287
541,2016-04-01,2048,Arnavutköy,306
542,2016-04-01,2049,Ataşehir,595
543,2016-04-01,2003,Avcılar,697
544,2016-04-01,2004,Bağcılar,322
545,2016-04-01,2005,Bahçelievler,591
546,2016-04-01,1166,Bakırköy,371
547,2016-04-01,2050,Başakşehir,787
548,2016-04-01,1886,Bayrampaşa,271
549,2016-04-01,1183,Beşiktaş,229
550,2016-04-01,1185,Beykoz,25
551,2016-04-01,2051,Beylikdüzü,962
552,2016-04-01,1186,Beyoğlu,169
553,2016-04-01,1782,Büyükçekmece,512
554,2016-04-01,2052,Çekmeköy,375
555,2016-04-01,2016,Esenler,278
556,2016-04-01,2053,Esenyurt,3397
557,2016-04-01,1325,Eyüpsultan,415
558,2016-04-01,1327,Fatih,344
559,2016-04-01,1336,Gaziosmanpaşa,417
560,2016-04-01,2010,Güngören,202
561,2016-04-01,1421,Kadıköy,662
562,2016-04-01,1810,Kağıthane,559
563,2016-04-01,1449,Kartal,668
564,2016-04-01,1823,Küçükçekmece,522
565,2016-04-01,2012,Maltepe,535
566,2016-04-01,1835,Pendik,829
567,2016-04-01,2054,Sancaktepe,865
568,2016-04-01,1604,Sarıyer,167
569,2016-04-01,1622,Silivri,416
570,2016-04-01,1663,Şişli,359
571,2016-04-01,2014,Sultanbeyli,108
572,2016-04-01,2055,Sultangazi,490
573,2016-04-01,2015,Tuzla,552
574,2016-04-01,1852,Ümraniye,736
575,2016-04-01,1708,Üsküdar,398
576,2016-04-01,1739,Zeytinburnu,264
577,2016-05-01,2048,Arnavutköy,345
578,2016-05-01,2049,Ataşehir,513
579,2016-05-01,2003,Avcılar,576
580,2016-05-01,2004,Bağcılar,330
581,2016-05-01,2005,Bahçelievler,663
582,2016-05-01,1166,Bakırköy,298
583,2016-05-01,2050,Başakşehir,659
584,2016-05-01,1886,Bayrampaşa,266
585,2016-05-01,1183,Beşiktaş,210
586,2016-05-01,1185,Beykoz,36
587,2016-05-01,2051,Beylikdüzü,871
588,2016-05-01,1186,Beyoğlu,153
589,2016-05-01,1782,Büyükçekmece,500
590,2016-05-01,2052,Çekmeköy,378
591,2016-05-01,2016,Esenler,1724
592,2016-05-01,2053,Esenyurt,3674
593,2016-05-01,1325,Eyüpsultan,408
594,2016-05-01,1327,Fatih,305
595,2016-05-01,1336,Gaziosmanpaşa,376
596,2016-05-01,2010,Güngören,232
597,2016-05-01,1421,Kadıköy,665
598,2016-05-01,1810,Kağıthane,527
599,2016-05-01,1449,Kartal,673
600,2016-05-01,1823,Küçükçekmece,493
601,2016-05-01,2012,Maltepe,611
602,2016-05-01,1835,Pendik,847
603,2016-05-01,2054,Sancaktepe,1572
604,2016-05-01,1604,Sarıyer,153
605,2016-05-01,1622,Silivri,414
606,2016-05-01,1663,Şişli,327
607,2016-05-01,2014,Sultanbeyli,133
608,2016-05-01,2055,Sultangazi,474
609,2016-05-01,2015,Tuzla,501
610,2016-05-01,1852,Ümraniye,710
611,2016-05-01,1708,Üsküdar,380
612,2016-05-01,1739,Zeytinburnu,473
613,2016-06-01,2048,Arnavutköy,354
614,2016-06-01,2049,Ataşehir,495
615,2016-06-01,2003,Avcılar,590
616,2016-06-01,2004,Bağcılar,302
617,2016-06-01,2005,Bahçelievler,620
618,2016-06-01,1166,Bakırköy,303
619,2016-06-01,2050,Başakşehir,838
620,2016-06-01,1886,Bayrampaşa,261
621,2016-06-01,1183,Beşiktaş,217
622,2016-06-01,1185,Beykoz,25
623,2016-06-01,2051,Beylikdüzü,917
624,2016-06-01,1186,Beyoğlu,169
625,2016-06-01,1782,Büyükçekmece,495
626,2016-06-01,2052,Çekmeköy,394
627,2016-06-01,2016,Esenler,384
628,2016-06-01,2053,Esenyurt,3288
629,2016-06-01,1325,Eyüpsultan,394
630,2016-06-01,1327,Fatih,278
631,2016-06-01,1336,Gaziosmanpaşa,367
632,2016-06-01,2010,Güngören,207
633,2016-06-01,1421,Kadıköy,597
634,2016-06-01,1810,Kağıthane,593
635,2016-06-01,1449,Kartal,1222
636,2016-06-01,1823,Küçükçekmece,573
637,2016-06-01,2012,Maltepe,613
638,2016-06-01,1835,Pendik,885
639,2016-06-01,2054,Sancaktepe,1013
640,2016-06-01,1604,Sarıyer,163
641,2016-06-01,1622,Silivri,408
642,2016-06-01,1663,Şişli,395
643,2016-06-01,2014,Sultanbeyli,168
644,2016-06-01,2055,Sultangazi,468
645,2016-06-01,2015,Tuzla,621
646,2016-06-01,1852,Ümraniye,720
647,2016-06-01,1708,Üsküdar,392
648,2016-06-01,1739,Zeytinburnu,502
649,2016-07-01,2048,Arnavutköy,125
650,2016-07-01,2049,Ataşehir,280
651,2016-07-01,2003,Avcılar,305
652,2016-07-01,2004,Bağcılar,159
653,2016-07-01,2005,Bahçelievler,381
654,2016-07-01,1166,Bakırköy,147
655,2016-07-01,2050,Başakşehir,308
656,2016-07-01,1886,Bayrampaşa,150
